case_notification_date,district,cumulative_cases,daily_new_cases,cases_in_last_7_days
17/04/2020,Bagerhat,1,1,1.0
18/04/2020,Bagerhat,1,0,1.0
19/04/2020,Bagerhat,1,0,1.0
20/04/2020,Bagerhat,1,0,1.0
21/04/2020,Bagerhat,1,0,1.0
22/04/2020,Bagerhat,1,0,1.0
23/04/2020,Bagerhat,1,0,1.0
24/04/2020,Bagerhat,1,0,0.0
25/04/2020,Bagerhat,1,0,0.0
26/04/2020,Bagerhat,1,0,0.0
27/04/2020,Bagerhat,1,0,0.0
28/04/2020,Bagerhat,1,0,0.0
29/04/2020,Bagerhat,1,0,0.0
30/04/2020,Bagerhat,2,1,1.0
01/05/2020,Bagerhat,2,0,1.0
02/05/2020,Bagerhat,2,0,1.0
03/05/2020,Bagerhat,2,0,1.0
04/05/2020,Bagerhat,2,0,1.0
05/05/2020,Bagerhat,2,0,1.0
06/05/2020,Bagerhat,2,0,1.0
07/05/2020,Bagerhat,2,0,0.0
08/05/2020,Bagerhat,2,0,0.0
09/05/2020,Bagerhat,3,1,1.0
10/05/2020,Bagerhat,3,0,1.0
17/04/2020,Bandarban,1,1,1.0
18/04/2020,Bandarban,1,0,1.0
19/04/2020,Bandarban,1,0,1.0
20/04/2020,Bandarban,1,0,1.0
21/04/2020,Bandarban,1,0,1.0
22/04/2020,Bandarban,4,3,4.0
23/04/2020,Bandarban,4,0,4.0
24/04/2020,Bandarban,4,0,3.0
25/04/2020,Bandarban,4,0,3.0
26/04/2020,Bandarban,4,0,3.0
27/04/2020,Bandarban,4,0,3.0
28/04/2020,Bandarban,4,0,3.0
29/04/2020,Bandarban,4,0,0.0
30/04/2020,Bandarban,4,0,0.0
01/05/2020,Bandarban,7,3,3.0
02/05/2020,Bandarban,7,0,3.0
03/05/2020,Bandarban,7,0,3.0
04/05/2020,Bandarban,7,0,3.0
05/05/2020,Bandarban,4,3,6.0
06/05/2020,Bandarban,4,0,6.0
07/05/2020,Bandarban,4,0,6.0
08/05/2020,Bandarban,4,0,3.0
09/05/2020,Bandarban,4,0,3.0
10/05/2020,Bandarban,4,0,3.0
10/04/2020,Barguna,1,1,1.0
12/04/2020,Barguna,3,2,3.0
13/04/2020,Barguna,3,0,3.0
14/04/2020,Barguna,3,0,3.0
15/04/2020,Barguna,4,1,4.0
16/04/2020,Barguna,4,0,4.0
17/04/2020,Barguna,4,0,3.0
18/04/2020,Barguna,9,5,8.0
19/04/2020,Barguna,10,1,7.0
20/04/2020,Barguna,12,2,9.0
21/04/2020,Barguna,17,5,14.0
22/04/2020,Barguna,17,0,13.0
23/04/2020,Barguna,20,3,16.0
24/04/2020,Barguna,23,3,19.0
25/04/2020,Barguna,23,0,14.0
26/04/2020,Barguna,30,7,20.0
27/04/2020,Barguna,30,0,18.0
28/04/2020,Barguna,30,0,13.0
29/04/2020,Barguna,30,0,13.0
30/04/2020,Barguna,30,0,10.0
01/05/2020,Barguna,33,3,10.0
02/05/2020,Barguna,33,0,10.0
03/05/2020,Barguna,36,3,6.0
04/05/2020,Barguna,36,0,6.0
05/05/2020,Barguna,33,3,9.0
06/05/2020,Barguna,33,0,9.0
07/05/2020,Barguna,34,1,10.0
08/05/2020,Barguna,34,0,7.0
09/05/2020,Barguna,35,1,8.0
10/05/2020,Barguna,37,2,7.0
13/04/2020,Barisal,2,2,2.0
14/04/2020,Barisal,7,5,7.0
15/04/2020,Barisal,10,3,10.0
16/04/2020,Barisal,12,2,12.0
17/04/2020,Barisal,12,0,12.0
18/04/2020,Barisal,18,6,18.0
19/04/2020,Barisal,21,3,21.0
20/04/2020,Barisal,24,3,22.0
21/04/2020,Barisal,32,8,25.0
22/04/2020,Barisal,34,2,24.0
23/04/2020,Barisal,34,0,22.0
24/04/2020,Barisal,35,1,23.0
25/04/2020,Barisal,38,3,20.0
26/04/2020,Barisal,38,0,17.0
27/04/2020,Barisal,38,0,14.0
28/04/2020,Barisal,40,2,8.0
29/04/2020,Barisal,40,0,6.0
30/04/2020,Barisal,40,0,6.0
01/05/2020,Barisal,40,0,5.0
02/05/2020,Barisal,40,0,2.0
03/05/2020,Barisal,41,1,3.0
04/05/2020,Barisal,41,0,3.0
05/05/2020,Barisal,41,0,1.0
06/05/2020,Barisal,44,3,4.0
07/05/2020,Barisal,47,3,7.0
08/05/2020,Barisal,48,1,8.0
09/05/2020,Barisal,48,0,8.0
10/05/2020,Barisal,54,6,13.0
24/04/2020,Bhola,2,2,2.0
25/04/2020,Bhola,2,0,2.0
26/04/2020,Bhola,2,0,2.0
27/04/2020,Bhola,2,0,2.0
28/04/2020,Bhola,4,2,4.0
29/04/2020,Bhola,5,1,5.0
30/04/2020,Bhola,5,0,5.0
01/05/2020,Bhola,5,0,3.0
02/05/2020,Bhola,5,0,3.0
03/05/2020,Bhola,5,0,3.0
04/05/2020,Bhola,5,0,3.0
05/05/2020,Bhola,5,0,1.0
06/05/2020,Bhola,6,1,1.0
07/05/2020,Bhola,7,1,2.0
08/05/2020,Bhola,7,0,2.0
09/05/2020,Bhola,7,0,2.0
10/05/2020,Bhola,7,0,2.0
18/04/2020,Bogra,1,1,1.0
19/04/2020,Bogra,1,0,1.0
20/04/2020,Bogra,1,0,1.0
21/04/2020,Bogra,2,1,2.0
22/04/2020,Bogra,5,3,5.0
23/04/2020,Bogra,10,5,10.0
24/04/2020,Bogra,10,0,10.0
25/04/2020,Bogra,11,1,10.0
26/04/2020,Bogra,12,1,11.0
27/04/2020,Bogra,17,5,16.0
28/04/2020,Bogra,17,0,15.0
